종목명,업종명,시가총액
한창,유통,"26,467,434,378"
삼성SDI,전기·전자,"26,351,468,310,000"
아이마켓코리아,유통,"259,407,798,400"
한농화성,화학,"258,480,304,260"
에이블씨엔씨,화학,"257,540,193,900"
대동,기계·장비,"256,800,562,340"
세방,운송·창고,"256,149,080,200"
잇츠한불,화학,"251,967,829,350"
대원강업,운송장비·부품,"250,480,000,000"
동성제약,제약,"25,900,780,311"
대한항공우,운송·창고,"25,492,722,300"
삼성중공업,운송장비·부품,"25,476,000,000,000"
성문전자,전기·전자,"25,313,530,095"
태원물산,운송장비·부품,"25,308,000,000"
POSCO홀딩스,금속,"25,210,614,548,000"
디아이씨,운송장비·부품,"249,664,612,980"
LX하우시스,화학,"249,301,226,000"
일양약품,제약,"249,067,915,200"
한국화장품제조,화학,"246,994,000,000"
LG생활건강우,화학,"245,874,518,700"
대한제당,음식료·담배,"245,320,146,300"
SJG세종,운송장비·부품,"244,824,456,800"
한양증권,증권,"244,133,282,120"
JW홀딩스,기타금융,"241,734,560,340"
BYC,섬유·의류,"241,726,005,000"
삼화전기,전기·전자,"241,073,739,000"
HS효성,기타금융,"240,322,291,500"
이스타코,부동산,"24,553,966,800"
대덕전자1우,전기·전자,"24,496,617,110"
진도,유통,"24,434,921,472"
롯데지주우,기타금융,"24,168,090,000"
코오롱우,기타금융,"24,057,316,500"
광주신세계,유통,"238,317,840,500"
스카이라이프,오락·문화,"237,614,775,000"
사조산업,음식료·담배,"237,500,000,000"
SK디앤디,부동산,"237,185,446,680"
선진,음식료·담배,"234,942,487,520"
무학,음식료·담배,"234,840,000,000"
흥국화재,보험,"234,485,654,250"
성신양회,비금속,"233,393,014,960"
포스코스틸리온,금속,"232,500,000,000"
KPX케미칼,화학,"230,868,000,000"
퍼스텍,금속,"230,691,266,740"
하나금융지주,기타금융,"23,824,689,678,400"
대교우B,일반서비스,"23,506,657,900"
미래아이앤지,IT 서비스,"23,478,308,304"
대한제분,음식료·담배,"229,502,000,000"
이지스밸류플러스리츠,부동산,"229,437,871,740"
동국홀딩스,기타금융,"228,645,472,770"
휴스틸,금속,"227,842,644,125"
토니모리,화학,"227,077,302,560"
대성에너지,전기·가스,"226,600,000,000"
송원산업,화학,"226,320,000,000"
CR홀딩스,비금속,"225,543,256,900"
종근당홀딩스,제약,"223,690,293,650"
하이트진로홀딩스,기타금융,"221,392,538,100"
대상우,음식료·담배,"22,882,724,100"
윌비스,유통,"22,725,781,182"
코리아써우,전기·전자,"22,590,937,800"
동양고속,운송·창고,"22,440,659,750"
에이엔피,전기·전자,"22,242,628,742"
우진아이엔에스,건설,"22,218,130,000"
다올투자증권,증권,"218,670,870,540"
JW생명과학,제약,"218,200,154,120"
한솔테크닉스,전기·전자,"218,026,071,620"
서연,기타금융,"217,658,153,880"
화승인더,유통,"217,407,600,000"
삼양패키징,화학,"215,400,142,550"
신세계 I&C,IT 서비스,"215,026,242,000"
한미글로벌,일반서비스,"214,439,253,500"
삼성물산우B,유통,"213,827,863,000"
환인제약,제약,"211,854,797,300"
CJ우,기타금융,"211,556,872,800"
에어부산,운송·창고,"210,301,920,000"
HDC랩스,건설,"210,256,568,100"
효성중공업,전기·전자,"21,707,547,744,000"
아센디오,오락·문화,"21,475,642,425"
